topicId,split,topicText,topicTarget,topicSentiment,claims.claimId,claims.stance,claims.claimCorrectedText,claims.claimOriginalText,claims.Compatible,claims.claimTarget.text,claims.claimTarget.span.start,claims.claimTarget.span.end,claims.claimSentiment,claims.targetsRelation,char_length,word_count
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201424,PRO,Condoms may interfere with the process of paternal tolerance,Condoms may interfere with the process of paternal tolerance,yes,Condoms,0.0,7.0,-1.0,1.0,60,9
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201427,CON,Condoms have the  feature of helping to prevent the spread of sexually transmitted diseases,condoms have the additional feature of helping to prevent the spread of sexually transmitted diseases,yes,Condoms,0.0,7.0,1.0,1.0,91,14
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201438,CON,Condoms (male or female) are used to protect against STIs,Condoms (male or female) are used to protect against STIs,yes,Condoms,0.0,7.0,1.0,1.0,57,10
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201439,CON,The best way to prevent being infected or infecting someone with an STI is by using protection during sexual intercourse,The best way to prevent being infected or infecting someone with an STI is by using protection during sexual intercourse,yes,using protection during sexual intercourse,78.0,120.0,1.0,1.0,120,20
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201463,CON,Proper use of condoms reduces contact and risk,Proper use of condoms reduces contact and risk,yes,Proper use of condoms,0.0,21.0,1.0,1.0,46,8
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,201464,CON,The majority of HIV infections are acquired through unprotected sexual relations between partners,The majority of HIV infections are acquired through unprotected sexual relations between partners,yes,unprotected sexual relations between partners,52.0,97.0,-1.0,-1.0,97,13
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,202482,PRO,Catholicism considers all forms of birth control to be sins,"Catholicism, which considers all forms of birth control to be sins",yes,forms of birth control,26.0,48.0,-1.0,1.0,59,10
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,202483,PRO,Contraception is immoral,contraception was immoral,yes,Contraception,0.0,13.0,-1.0,1.0,24,3
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,202484,CON,Condoms can save life,condoms can save your life,yes,Condoms,0.0,7.0,1.0,1.0,21,4
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204027,CON,condoms protect against sexually transmitted diseases,condoms protect against sexually transmitted diseases,yes,condoms,0.0,7.0,1.0,1.0,53,6
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204028,CON,Condoms  prevent sexually transmitted infections,condoms to prevent sexually transmitted infections,yes,Condoms,0.0,7.0,1.0,1.0,48,5
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204341,PRO,"the sexual act must ""retain its intrinsic relationship to the procreation of human life","the sexual act must ""retain its intrinsic relationship to the procreation of human life",no,,,,,,87,14
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204361,PRO,"contraception ""contradicts the will of the Author of life [God","contraception ""contradicts the will of the Author of life [God",yes,contraception,0.0,13.0,-1.0,1.0,62,10
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204362,PRO,intercourse must at once be both the renewal of the consummation of marriage and open to procreation,intercourse must at once be both the renewal of the consummation of marriage and open to procreation,no,,,,,,100,17
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204363,PRO,"since artificial contraception expressly prevents the creation of a new life (and, the Church would argue, removes the sovereignty of God over all of Creation), contraception is unacceptable","since artificial contraception expressly prevents the creation of a new life (and, the Church would argue, removes the sovereignty of God over all of Creation), contraception is unacceptable",yes,artificial contraception,6.0,30.0,-1.0,1.0,190,28
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204887,PRO,using condoms during sex is morally contraceptive and thus a sin,using condoms during sex is morally contraceptive and thus a sin,yes,using condoms during sex,0.0,24.0,-1.0,1.0,64,11
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204888,PRO,Condoms impede the procreative aspect of the sexual act which is understood by the Church to have a deeply theological meaning,impede the procreative aspect of the sexual act which is understood by the Church to have a deeply theological meaning,yes,Condoms,0.0,7.0,-1.0,1.0,126,21
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204889,PRO,permitting condom use as a method of preventing disease could be interpreted as permitting fornication,permitting condom use as a method of preventing disease could be interpreted as permitting fornication,yes,permitting condom use,0.0,21.0,-1.0,1.0,102,15
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204890,PRO,"promotion of condom use will lead to irresponsible, risky sexual behavior","promotion of condom use will lead to irresponsible, risky sexual behavior",yes,promotion of condom use,0.0,23.0,-1.0,1.0,73,11
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204891,PRO,Condoms are a sin in any circumstances,condoms were a sin in any circumstances,yes,Condoms,0.0,7.0,-1.0,1.0,38,7
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204892,CON,The church..has to respect responsible decision-making by couples,The church..has to respect responsible decision-making by couples,no,,,,,,65,8
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204893,CON,condoms are acceptable as a means of preventing AIDS,condoms are acceptable as a means of preventing AIDS,yes,condoms,0.0,7.0,1.0,1.0,52,9
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204894,CON,condoms should be used to prevent the spread of HIV,condoms should be used to prevent the spread of HIV,yes,condoms,0.0,7.0,1.0,1.0,51,10
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204895,PRO,Condom use could encourage the spread of HIV by promoting extramarital sex,condom use could even encourage the spread of HIV by promoting extramarital sex,yes,Condom use,0.0,10.0,-1.0,1.0,74,12
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204896,CON,condom use will prevent the spread of AIDS,condom use will prevent the spread of AIDS,yes,condom use,0.0,10.0,1.0,1.0,42,8
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,204897,CON,"the Church's ban on condoms has ""caused the death of millions","the Church's ban on condoms has ""caused the death of millions",yes,the Church's ban on condoms,0.0,27.0,-1.0,-1.0,61,11
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205506,PRO,God created sexual intercourse to be both unitive and procreative,God created sexual intercourse to be both unitive and procreative,no,,,,,,65,10
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205507,PRO,an act which deliberately attempts to divorce the unitive and procreative meaning of the marital act is opposed to God's plan for life,an act which deliberately attempts to divorce the unitive and procreative meaning of the marital act is opposed to God's plan for life,yes,an act which deliberately attempts to divorce the unitive and procreative meaning of the marital act,0.0,100.0,-1.0,1.0,134,23
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205508,CON,"the Catholic Church should support condoms used to prevent serious diseases such as AIDS, because non-use is tantamount to murder","the Catholic Church should support condoms used to prevent serious diseases such as AIDS, because non-use is tantamount to murder",yes,condoms,35.0,42.0,1.0,1.0,129,20
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205509,CON,There is no reason to conclude that natural family planning is appropriate but that 'artificial' means are not,There is no reason to conclude that natural family planning is appropriate but that 'artificial' means are not,no,,,,,,110,18
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205541,PRO,Birth control could open wide the way for marital infidelity,could open wide the way for marital infidelity,yes,Birth control,0.0,13.0,-1.0,1.0,60,10
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205542,PRO,a man who grows accustomed to the use of contraceptive methods may forget the reverence due to a woman,a man who grows accustomed to the use of contraceptive methods may forget the reverence due to a woman,yes,the use of contraceptive methods,30.0,62.0,-1.0,1.0,102,19
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205543,PRO,Contraception is always seriously evil,contraception was always seriously evil,yes,Contraception,0.0,13.0,-1.0,1.0,38,5
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205544,PRO,Contraception is gravely opposed to marital chastity,Contraception is gravely opposed to marital chastity,yes,Contraception,0.0,13.0,-1.0,1.0,52,7
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205545,PRO,Contraception is contrary to the good of the transmission of life,it is contrary to the good of the transmission of life,yes,Contraception,0.0,13.0,-1.0,1.0,65,11
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205546,PRO,Contraception denies the sovereign role of God in the transmission of human life,denies the sovereign role of God in the transmission of human life,yes,Contraception,0.0,13.0,-1.0,1.0,80,13
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205547,CON,the Catholic Church should support condoms used to prevent serious diseases such as AIDS,the Catholic Church should support condoms used to prevent serious diseases such as AIDS,yes,condoms,35.0,42.0,1.0,1.0,88,14
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205549,PRO,"birth control, in all forms, is sin","birth control, in all forms, is sin",yes,birth control,0.0,13.0,-1.0,1.0,35,7
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,205730,PRO,all licit sexual acts must be open to procreation,all licit sexual acts must be open to procreation,no,,,,,,49,9
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,210281,PRO,"all licit sexual acts must be both unitive (express love), and procreative","all licit sexual acts must be both unitive (express love), and procreative",no,,,,,,74,12
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,210288,PRO,the Church should not and could not change its long-standing teaching,the Church should not and could not change its long-standing teaching,no,,,,,,69,11
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,210297,CON,Persons use condoms to protect against the spread of infections,persons may use condoms to protect against the spread of infections,yes,condoms,12.0,19.0,1.0,1.0,63,10
442,train,This house believes that the Catholic Church is justified in forbidding the use of barrier methods of contraception,barrier methods of contraception,-1,210298,PRO,"The problem of AIDS cannot be overcome by the distribution of prophylactics: on the contrary, they increase it","the problem cannot be overcome by the distribution of prophylactics: on the contrary, they increase it",yes,the distribution of prophylactics,42.0,75.0,-1.0,1.0,110,18
443,train,This house supports raising the school leaving age to 18,raising the school leaving age to 18,1,116990,PRO,Raising the school leaving age will tackle the problem of young people leaving school unskilled,will tackle the problem of young people leaving school unskilled,yes,Raising the school leaving age,0.0,30.0,1.0,1.0,95,15
443,train,This house supports raising the school leaving age to 18,raising the school leaving age to 18,1,319797,CON,"the history of the drive for compulsory schooling is not guided by altruism, but by a desire to coerce the population into a mold desired by the Establishment","the history of the drive for compulsory schooling is not guided by altruism, but by a desire to coerce the population into a mold desired by the Establishment",yes,compulsory schooling,29.0,49.0,-1.0,1.0,158,28
443,train,This house supports raising the school leaving age to 18,raising the school leaving age to 18,1,319798,CON,youths should have the right to control and direct their own learning,youths should have the right to control and direct their own learning,yes,the right to control and direct their own learning,19.0,69.0,1.0,-1.0,69,12
443,train,This house supports raising the school leaving age to 18,raising the school leaving age to 18,1,319799,CON,the current compulsory schooling system violates a basic fundamental right of humans: the right to decide what enters our minds,the current compulsory schooling system violates a basic fundamental right of humans: the right to decide what enters our minds,yes,the current compulsory schooling system,0.0,39.0,-1.0,1.0,127,20
443,train,This house supports raising the school leaving age to 18,raising the school leaving age to 18,1,319800,CON,freedom of learning is part of freedom of thought,freedom of learning is part of freedom of thought,yes,freedom of learning,0.0,19.0,1.0,-1.0,49,9
443,train,This house supports raising the school leaving age to 18,raising the school leaving age to 18,1,319801,CON,"forced schooling, regardless of whether the student is learning anything whatsoever, or if the student could more effectively learn elsewhere in different ways, is a gross violation of civil liberties","forced schooling, regardless of whether the student is learning anything whatsoever, or if the student could more effectively learn elsewhere in different ways, is a gross violation of civil liberties",yes,forced schooling,0.0,16.0,-1.0,1.0,200,30
443,train,This house supports raising the school leaving age to 18,raising the school leaving age to 18,1,319802,CON,Schools inhibit a person’s will and ability to self-learn,Schools inhibit a person’s will and ability to self-learn,yes,Schools,0.0,7.0,1.0,1.0,57,9
443,train,This house supports raising the school leaving age to 18,raising the school leaving age to 18,1,319803,CON,forced schooling perverts the victims’ natural inclination to grow and learn,forced schooling perverts the victims’ natural inclination to grow and learn,yes,forced schooling,0.0,16.0,-1.0,1.0,76,11
443,train,This house supports raising the school leaving age to 18,raising the school leaving age to 18,1,319933,PRO,high rates of education are essential for countries to be able to achieve high levels of economic growth,high rates of education are essential for countries to be able to achieve high levels of economic growth,yes,high rates of education,0.0,23.0,1.0,1.0,104,18
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,205318,CON,release of tactical information usually presents a greater risk of casualties among one's own forces,release of tactical information usually presents a greater risk of casualties among one's own forces,yes,release of tactical information,0.0,31.0,-1.0,1.0,100,15
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,205474,CON,the right to freedom of speech is not absolute,the right to freedom of speech is not absolute,yes,the right to freedom of speech,0.0,30.0,-1.0,1.0,46,9
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,205475,PRO,there must be no constraints on the free flow of information and ideas,there must be no constraints on the free flow of information and ideas,yes,the free flow of information and ideas,32.0,70.0,1.0,1.0,70,13
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,205476,PRO,democracy will not be true to its essential ideal if those in power are able to manipulate the electorate by withholding information,democracy will not be true to its essential ideal if those in power are able to manipulate the electorate by withholding information,yes,withholding information,109.0,132.0,-1.0,-1.0,132,22
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,209576,PRO,Access to information is increasingly recognised as a prerequisite for transparency and accountability of governments,Access to information was increasingly recognised as a prerequisite for transparency and accountability of governments,yes,Access to information,0.0,21.0,1.0,1.0,117,15
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,209577,PRO,access to information is a basic human right,access to information is a basic human right,yes,access to information,0.0,21.0,1.0,1.0,44,8
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,209578,CON,The right of governments to forbid the publication of properly categorized state secrets is recognised,the right of governments to forbid the publication of properly categorized state secrets,yes,The right of governments to forbid the publication of properly categorized state secrets,0.0,88.0,1.0,-1.0,102,15
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,209579,PRO,"the more freely information flows, the stronger societies become","the more freely information flows, the stronger societies become",yes,the more freely information flows,0.0,33.0,1.0,1.0,64,9
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,209740,CON,any government may distinguish which materials are public or protected from disclosure to the public,any government may distinguish which materials are public or protected from disclosure to the public,no,,,,,,100,15
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,209741,PRO,The individual freedom of expression is essential to the well-being of society,The individual freedom of expression is therefore essential to the well-being of society,yes,The individual freedom of expression,0.0,36.0,1.0,1.0,78,12
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,210845,CON,The purpose of classification is to protect information from being used to damage or endanger national security,The purpose of classification is to protect information from being used to damage or endanger national security,yes,classification,15.0,29.0,1.0,-1.0,111,17
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,210848,PRO,"national security"" may simply serve as a pretext for suppressing unfavorable political and social views","national security"" may simply serve as a pretext for suppressing unfavorable political and social views",no,,,,,,103,15
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,219226,PRO,Everyone has the right to freedom of opinion and expression,Everyone has the right to freedom of opinion and expression,yes,the right to freedom of opinion and expression,13.0,59.0,1.0,1.0,59,10
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,219231,PRO,Information should be free,Information should be free,yes,Information,0.0,11.0,1.0,1.0,26,4
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,219238,CON,leaks .. may have a very negative security impact for people involved,leaks .. may have a very negative security impact for people involved,yes,leaks,0.0,5.0,-1.0,1.0,69,12
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,219239,CON,The decision to leak classified information is something that is illegal,The decision to leak classified information is something that is illegal,yes,The decision to leak classified information,0.0,43.0,-1.0,1.0,72,11
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,219240,CON,individuals are making judgments about threats and information they are not qualified to make,individuals are making judgments about threats and information they are not qualified to make,no,,,,,,93,14
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,219243,PRO,"However illegally these documents came to light, they raise serious questions","However illegally these documents came to light, they raise serious questions",no,,,,,,77,11
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,219246,PRO,free speech is what regulates government and regulates law,free speech is what regulates government and regulates law,yes,free speech,0.0,11.0,1.0,1.0,58,9
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,219253,CON,The purpose of censorship is to prevent the publication of security information which could benefit the enemy or harm the State,The purpose of the censorship is to prevent the publication of security information which could benefit the enemy or harm the State,yes,censorship,15.0,25.0,1.0,-1.0,127,21
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,219254,PRO,"Precisely because the repercussions that decisions of a security nature have on the life of nation, it is suitable to open the door to openly exchanging of views on security issues","Precisely because the repercussions that decisions of a security nature have on the life of nation, it is suitable to open the door to openly exchanging of views on security issues",yes,openly exchanging of views on security issues,135.0,180.0,1.0,1.0,180,31
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,219507,CON,Authority to exercise censorship over the press .. is absolutely necessary to the public safety,Authority to exercise censorship over the press .. is absolutely necessary to the public safety,yes,Authority to exercise censorship over the press,0.0,47.0,1.0,-1.0,95,15
481,train,This house believes that the leaking of military documents by Anat Kamm was justified,leaking of military documents,1,221598,PRO,government information should be available to the public,government information should be available to the public,no,,,,,,56,8
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,211368,PRO,valuable farmland go to waste for the use of a recreational drug instead of being used to plant food crops,valuable farmland go to waste for the use of a recreational drug instead of being used to plant food crops,yes,the use of a recreational drug,34.0,64.0,-1.0,1.0,106,20
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,211369,PRO,Smoking is considered an immoral habit,smoking was considered an immoral habit,yes,Smoking,0.0,7.0,-1.0,1.0,38,6
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,211718,PRO,"Subsidies may distort markets, and can impose large economic costs","Subsidies may distort markets, and can impose large economic costs",yes,Subsidies,0.0,9.0,-1.0,1.0,66,10
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,211719,PRO,subsidies may distort the market and produce inefficiencies,subsidies may distort the market and produce inefficiencies,yes,subsidies,0.0,9.0,-1.0,1.0,59,8
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,219549,PRO,Tobacco use is described as the single most important preventable risk to human health in developed countries,"tobacco use as ""the single most important preventable risk to human health in developed countries",yes,Tobacco use,0.0,11.0,-1.0,1.0,109,17
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,219550,PRO,The cultivation of tobacco can be economically detrimental to developing countries,The cultivation of tobacco can be economically detrimental to developing countries,yes,The cultivation of tobacco,0.0,26.0,-1.0,1.0,82,11
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,219551,PRO,When resources are put into tobacco production they are taken away from food production,When resources are put into tobacco production they are taken away from food production,yes,tobacco production,28.0,46.0,-1.0,1.0,87,14
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,219552,PRO,A large percent of the profits from tobacco production go to large tobacco companies rather than local tobacco farmers,A large percent of the profits from tobacco production go to large tobacco companies rather than local tobacco farmers,no,,,,,,118,19
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,219553,PRO,Government subsides for tobacco farming do not make economic sense,"government subsides for tobacco farming, which do not make economic sense",yes,Government subsides for tobacco farming,0.0,39.0,-1.0,1.0,66,10
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,219557,PRO,The cultivation of tobacco is economically detrimental to the countries that produce it,The cultivation of tobacco is economically detrimental to the countries that produce it,yes,The cultivation of tobacco,0.0,26.0,-1.0,1.0,87,13
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,219558,PRO,"When resources are put into tobacco production, they are taken away from food production","When resources are put into tobacco production, they are taken away from food production",yes,tobacco production,28.0,46.0,-1.0,1.0,88,14
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,219567,CON,The market system is not adequately rewarding farm people for their agricultural commodities,the market system was not adequately rewarding farm people for their agricultural commodities,yes,The market system,0.0,17.0,-1.0,-1.0,92,13
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,219577,PRO,smoking tobacco is among the leading causes of many diseases,smoking tobacco is among the leading causes of many diseases,yes,smoking tobacco,0.0,15.0,-1.0,1.0,60,10
482,train,This house believes that states should not subsidize the growing of tobacco,subsidize the growing of tobacco,-1,219579,PRO,Tobacco-related diseases are some of the biggest killers in the world today,Tobacco-related diseases are some of the biggest killers in the world today,yes,Tobacco-related diseases,0.0,24.0,-1.0,1.0,75,12
