essay_id,topic,component_id,component_type,text
essay03,International tourism is now more common than ever before,T3,Claim,tourism has clearly improved lives in the tourist country
essay03,International tourism is now more common than ever before,T4,Premise,international tourism promotes many aspects of the destination country’s economy in order to serve various demands of tourists
essay03,International tourism is now more common than ever before,T5,Premise,"Take Cambodia for example, a large number of visitors coming to visit the Angkowat ancient temple need services like restaurants, hotels, souvenir shops and other stores"
essay03,International tourism is now more common than ever before,T6,Premise,These demands trigger related business in the surrounding settings which in turn create many jobs for local people improve infrastructure and living standard
essay03,International tourism is now more common than ever before,T7,Claim,tourism has survived many non-tangible cultural values and beauty scenes
essay03,International tourism is now more common than ever before,T8,Claim,"through tourism industry, many cultural values have been preserved and natural environments have been protected"
essay03,International tourism is now more common than ever before,T9,Premise,"in Vietnam, many cultural costumes and natural scenes, namely ‘Trong Dong’ drum performance and ‘Ha Long’ bay, are being encouraged to preserve and funded by the tourism ministry"
essay03,International tourism is now more common than ever before,T10,Premise,"Without this support and profit from tourism, many traditional cultures would disappear due to its low income works"
essay03,International tourism is now more common than ever before,T11,Claim,international tourism has both triggered economic development and maintained cultural and environment values of the tourist countries
essay03,International tourism is now more common than ever before,T12,Claim,the authorities should adequately support these sustainable developments
essay04,International tourism is now more common than ever before,T1,MajorClaim,this industry has affected the cultural attributes and damaged the natural environment of the tourist destinations
essay04,International tourism is now more common than ever before,T2,Claim,tourists from different cultures will probably cause changes to the cultural identity of the tourist destinations
essay04,International tourism is now more common than ever before,T3,Claim,international tourism can create negative impacts on the destination countries
essay04,International tourism is now more common than ever before,T4,Premise,"Take Thailand for example, in the Vietnam War, many American soldiers came to Thailand for a break and involved in sexual and drug activities, these huge demands caused many local businesses opened and expanded, even illegally involved in under-age prostitutes to maximise their profits"
essay04,International tourism is now more common than ever before,T5,Premise,This was due to the lack of adequate controls by authorities and lead to a bad image of Thailand tourism
essay04,International tourism is now more common than ever before,T6,Claim,tourism increasingly create harms to the natural habitats of the destination appeals
essay04,International tourism is now more common than ever before,T7,Claim,tourism has threatened the nature environments
essay04,International tourism is now more common than ever before,T8,Premise,"As the Australia’s Great Barrier Reef has shown, the billion visitors per annum has generated immense destruction to this nature wonder, namely breaking the corals caused by walking or throwing boat’s anchors, dropping fuel and other sorts of pollutions"
essay04,International tourism is now more common than ever before,T9,Premise,"many marine lives have been endangered, in the extremes part of the reef become uninhabitable for these marine species"
essay04,International tourism is now more common than ever before,T10,Claim,tourism has created threatening pressure on both the sociocultural and natural environments
essay04,International tourism is now more common than ever before,T11,Claim,"If authorities do not take steps to appropriately conserve these precious values, they will be destroyed in the near future"
essay05,Living and studying overseas,T1,MajorClaim,one who studies overseas will gain many skills throughout this experience
essay05,Living and studying overseas,T2,Premise,studying at an overseas university gives individuals the opportunity to improve social skills by interacting and communicating with students from different origins and cultures
essay05,Living and studying overseas,T3,Claim,"Compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life"
essay05,Living and studying overseas,T4,Claim,living and studying overseas is an irreplaceable experience when it comes to learn standing on your own feet
essay05,Living and studying overseas,T5,Premise,"One who is living overseas will of course struggle with loneliness, living away from family and friends"
essay05,Living and studying overseas,T6,Premise,those difficulties will turn into valuable experiences in the following steps of life
essay05,Living and studying overseas,T7,Premise,the one will learn living without depending on anyone else
essay05,Living and studying overseas,T8,Premise,employers are mostly looking for people who have international and language skills
essay05,Living and studying overseas,T9,Premise,Becoming successful in this study will give the student an edge in job market
essay05,Living and studying overseas,T10,Claim,one who has studied and lived overseas will become more eligible for the job than his/her peers
essay05,Living and studying overseas,T11,Premise,there are many difficulties a student might face when studying and living overseas
essay05,Living and studying overseas,T12,Claim,living and studying overseas gives the individual a new perspective on the subject that is studied or in general life
essay06,Why you should Exercise,T1,MajorClaim,Excerising is one of the most important things in life
essay06,Why you should Exercise,T2,Premise,it can even be fun
essay06,Why you should Exercise,T3,Premise,"America's number one killer is cardiovascular diseases, which can easily be prevented by exercising"
essay06,Why you should Exercise,T4,Premise,"Exercise not only reduces the risk of health problems and various diseases, but it also has an effect on overall appearance"
essay06,Why you should Exercise,T5,Premise,exercising and being active can improve self-esteem and confidence
essay06,Why you should Exercise,T6,Premise,"It is a crucial element for living a healthier, longer, and happier life"
essay06,Why you should Exercise,T7,Claim,The number one reason why people should exercise is because it will keep you healthy
essay06,Why you should Exercise,T8,Premise,Americans are eating enormous amounts of fast foods these days
essay06,Why you should Exercise,T9,Premise,cardiovascular diseases are becoming more and more common
essay06,Why you should Exercise,T10,Premise,"One out of every four Americans are suffering from some form of cardiovascular diseases, which results in more than forty-five percent of deaths annually"
essay06,Why you should Exercise,T11,Premise,The main cause for this condition is obesity
essay06,Why you should Exercise,T12,Premise,"The more body fat that you have, the greater your risk for heart disease"
essay06,Why you should Exercise,T13,Premise,this condition can easily be prevented or controlled by exercising
essay06,Why you should Exercise,T14,Premise,Exercising makes the heart muscles stronger
essay06,Why you should Exercise,T15,Premise,When your heart muscle is strong it can do the same amount of work at a lower heart rate
essay06,Why you should Exercise,T16,Premise,the heart doesn't have to work as hard as it does with weak muscles
essay06,Why you should Exercise,T17,Premise,"Exercising not only helps prevent cardiovascular diseases, but it also helps prevent strokes, type 2 diabetes, and even certain types of cancer"
essay06,Why you should Exercise,T18,Premise,people who exercise have higher self esteem and confidence
essay06,Why you should Exercise,T19,Premise,active people are less likely to have depression and anxiety
essay06,Why you should Exercise,T20,Premise,"Exercising gives people energy, which helps people have positive outlooks on life"
essay06,Why you should Exercise,T21,Premise,it helps relieves tension and stress
essay06,Why you should Exercise,T22,Premise,"When you exercise you body releases endorphins, which are chemicals that create a happy feeling in brain"
essay06,Why you should Exercise,T23,Premise,when you're exercising you're bringing more oxygen into you lungs and your brain appreciates the extra air
essay06,Why you should Exercise,T24,Premise,Exercising also helps improve you brain function and your memory
essay06,Why you should Exercise,T25,Claim,it improves self-esteem and confidence
essay06,Why you should Exercise,T26,Premise,Most people think of exercising as only being a physical activity
essay06,Why you should Exercise,T27,Premise,it's also a mental activity
essay06,Why you should Exercise,T28,Premise,exercising takes up a lot of time and it requires too much work
essay06,Why you should Exercise,T29,Claim,it's really fun
essay06,Why you should Exercise,T30,Premise,When people actually take the time to try exercising they realize it's an enjoyable experience
essay06,Why you should Exercise,T31,Premise,"It doesn't matter how you exercise, as long as you are being active"
essay06,Why you should Exercise,T32,Premise,When you having fun you don't even realize that your exercising and you look forward to it everyday
essay06,Why you should Exercise,T33,Premise,Setting goals and rewards will help you stay motivated and consistent with exercising
essay06,Why you should Exercise,T34,Premise,There is no greater feeling than achieving a weight lose goal and being able to feel good about your body
essay06,Why you should Exercise,T36,Claim,It is one of the most important things in life
essay06,Why you should Exercise,T37,Premise,it's one hundred percent beneficial
essay06,Why you should Exercise,T38,Premise,Many people come up with plenty of excuses to not exercise
essay06,Why you should Exercise,T39,Premise,if you truly want to improve your mental and physical health you will find the energy and time to exercise
essay06,Why you should Exercise,T40,Claim,Everyone should take time out of their days to exercise
essay06,Why you should Exercise,T41,Premise,they can improve their lives in many ways
essay06,Why you should Exercise,T42,Premise,It is extremely rewarding and worthwhile
essay06,Why you should Exercise,T35,Premise,"exercising is the key to making your life healthier, longer, and happier"
essay07,Will newspapers become a thing of the past?,T1,MajorClaim,newspapers have lost their competitive advantage to sustain their prolonged existence
essay07,Will newspapers become a thing of the past?,T2,Premise,"The internet has been more and more popular for recent years, providing people with a huge source of information"
essay07,Will newspapers become a thing of the past?,T3,Premise,"to obtain information, using the internet is quicker and more convenient than reading newspapers"
essay07,Will newspapers become a thing of the past?,T4,Premise,"Contrary to the past when people had to wait long hours to take a daily newspaper, nowadays, they can acquire latest news updated every second through their mobile phones or computers connected to the internet, everywhere and at anytime"
essay07,Will newspapers become a thing of the past?,T5,Premise,"these devices and machines are very common in all parts of the world, making it easier for people to read a number of things that newspapers can not provide in only some pages"
essay07,Will newspapers become a thing of the past?,T6,Claim,the print media has failed to keep its important role in the provision of information
essay07,Will newspapers become a thing of the past?,T7,Premise,"from the economic aspect, buying newspapers appears to be a waste of money when the internet becomes available for every one"
essay07,Will newspapers become a thing of the past?,T8,Premise,the internet service is being provided at a low cost or even free in many countries
essay07,Will newspapers become a thing of the past?,T9,Premise,"The answer, perhaps, is that hardly would rational people do so"
essay07,Will newspapers become a thing of the past?,T10,Claim,"the number of people reading newspapers may continue falling sharply, possibly leading to the close-downs of many in the coming time"
essay07,Will newspapers become a thing of the past?,T11,Premise,"when taking environment into consideration, people must conceive that the more newspapers are published, the more trees are cut down"
essay07,Will newspapers become a thing of the past?,T12,Premise,This is simply the contributor to the deforestation which is happening all over the world today
essay07,Will newspapers become a thing of the past?,T13,Claim,newspapers' production will have to face environmentalists on its way to be alive
essay08,Technology cannot solve all the world's problems!,T1,MajorClaim,it can contribute greatly to the development of the world
essay08,Technology cannot solve all the world's problems!,T2,Claim,"we need to place less emphasis on technological solutions and more on other values, such as economy, politics and education"
essay08,Technology cannot solve all the world's problems!,T3,Claim,"Technology, however, is not the best solution to all the world's intricate problems"
essay08,Technology cannot solve all the world's problems!,T4,Claim,technology plays an integral part in our lives
essay08,Technology cannot solve all the world's problems!,T5,Premise,"With the invention of computers and the Internet, we now can get easy access to all kinds of information"
essay08,Technology cannot solve all the world's problems!,T6,Premise,hi-tech devices also have a very positive impact on many aspects of our lives
essay08,Technology cannot solve all the world's problems!,T7,Premise,"They help us to work and study more efficiently, thus leading to an improvement in our abilities"
essay08,Technology cannot solve all the world's problems!,T8,Premise,Medical advances can improve our health and cure many fatal diseases
essay08,Technology cannot solve all the world's problems!,T9,Premise,"modern technology enables us to predict natural disasters much faster and more accurately, so we can reduce the number of deaths and property damage"
essay08,Technology cannot solve all the world's problems!,T10,Claim,there are some serious problems springing from modern technology
essay08,Technology cannot solve all the world's problems!,T11,Premise,deadly and powerful weapons can be a huge threat to the world's peace
essay08,Technology cannot solve all the world's problems!,T12,Premise,a lot of people spend too much time using hi-tech devices nowadays
essay08,Technology cannot solve all the world's problems!,T13,Premise,They abuse them so severely that they feel they can hardly live without them
essay08,Technology cannot solve all the world's problems!,T14,Premise,This can have a detrimental effect on their health
essay08,Technology cannot solve all the world's problems!,T15,Premise,"they are likely to develop many dangerous diseases, including obesity, heart attack and high blood-pressure"
essay08,Technology cannot solve all the world's problems!,T16,Premise,technology is very crucial for our lives
essay08,Technology cannot solve all the world's problems!,T17,Claim,"scientists should not place less emphasis on technological solutions, but try to pay more attention to develop new technologies instead"
essay08,Technology cannot solve all the world's problems!,T18,Premise,its advantages clearly outweigh its disadvantages
essay09,The Truth About Cannabis,T1,MajorClaim,prohibition does more harm than good
essay09,The Truth About Cannabis,T2,Claim,The legalization of marijuana would help get the economy going again
essay09,The Truth About Cannabis,T3,Premise,"Despite great efforts by the federal government against marijuana, it has become a large part of the national economy"
essay09,The Truth About Cannabis,T4,Premise,"if we were to legalize and tax it, the government would make tons of profit and we could start paying off this $16trillion national debt"
essay09,The Truth About Cannabis,T5,Premise,Not to mention it would create tons of jobs and people in prison for marijuana crimes would be released
essay09,The Truth About Cannabis,T6,Premise,"In a country with only 5% of the earth's population, the United States holds 25% of the world's prisoners (""Marijuana Prison Statistics"")"
essay09,The Truth About Cannabis,T7,Premise,A significant amount of those criminals are in there for drug related crimes
essay09,The Truth About Cannabis,T8,Premise,"Legalize marijuana and you cut a huge percent of their profits, army strength, and political power"
essay09,The Truth About Cannabis,T9,Premise,Otherwise they're going to do whatever they can to save the marijuana black market
essay09,The Truth About Cannabis,T10,Premise,Another group that benefits greatly from prohibition are the drug cartels
essay09,The Truth About Cannabis,T11,Claim,The war on drugs is a complete failure
essay09,The Truth About Cannabis,T12,Premise,"It's done nothing but waste tax payer dollars, fill prisons with non violent criminals, and create a black market"
essay09,The Truth About Cannabis,T13,Premise,"Pharmaceutical companies lobby against cannabis because at a lower price, there are so many drugs (painkillers, sleep medication) it could replace"
essay09,The Truth About Cannabis,T14,Premise,The main reason cannabis remains illegal is because lobbyists are making tons of money off of prohibition
essay09,The Truth About Cannabis,T15,Claim,marijuana is physically unhealthy for you and that's why it's illegal
essay09,The Truth About Cannabis,T16,Claim,prohibition has kept marijuana out of children's hands
essay09,The Truth About Cannabis,T17,Premise,legalizing this drug would expose more children and teens to it
essay09,The Truth About Cannabis,T18,Premise,It's a whole lot easier for kids to obtain marijuana as opposed to alcohol or tobacco
essay09,The Truth About Cannabis,T19,Premise,A drug dealer doesn't check for ID like a cashier would
essay09,The Truth About Cannabis,T20,Premise,Teens are susceptible to harsher drugs after trying marijuana
essay09,The Truth About Cannabis,T21,Premise,"they are introduced to these hardcore drugs in the same underground market where they got the marijuana, not because it's a gateway drug"
essay09,The Truth About Cannabis,T22,Claim,"marijuana is addictive and can be abused, thus making it mentally unhealthy"
essay09,The Truth About Cannabis,T23,Premise,"anything has the potential to be abused, even something as simple as food"
essay09,The Truth About Cannabis,T24,Premise,you'd have to explain why alcohol and tobacco are legal
essay09,The Truth About Cannabis,T25,Premise,those substances are way more harmful than cannabis
essay09,The Truth About Cannabis,T26,Premise,"79,000 people a year die from alcohol poisoning"
essay09,The Truth About Cannabis,T27,Premise,zero people have died from overdosing on pot
essay09,The Truth About Cannabis,T28,Premise,Many musicians admit that cannabis helps them get creative with their music and opens their minds to new ideas and concepts
essay09,The Truth About Cannabis,T29,Premise,Many cancer patients have used medical marijuana as a way of dealing with nausea after treatment or stimulating their appetite
essay09,The Truth About Cannabis,T30,Claim,people have benefited from marijuana whether it was for medical or recreational purposes
essay10,The Non-Issue of Same Sex Marriage,T1,Premise,"There is absolutely no legal, logical, or governing reason that same sex couples cannot be wed"
essay10,The Non-Issue of Same Sex Marriage,T2,Premise,it's extremely unconstitutional in every way to tell them they can't
essay10,The Non-Issue of Same Sex Marriage,T3,MajorClaim,Same sex marriage should be legal
essay10,The Non-Issue of Same Sex Marriage,T4,Premise,it's no one else's business if two men or two women want to get married
essay10,The Non-Issue of Same Sex Marriage,T5,Premise,not allowing them to marry makes them seem inferior
essay10,The Non-Issue of Same Sex Marriage,T6,Premise,it rids them of their civil rights
essay10,The Non-Issue of Same Sex Marriage,T7,Claim,It's wrong to tell two people who love each other that they cannot marry
essay10,The Non-Issue of Same Sex Marriage,T8,Premise,it's nobody's business who you fall in love with
essay10,The Non-Issue of Same Sex Marriage,T9,Premise,"A common married couple gets benefits on health, gets to make decisions that are best for their spouse in extreme cases, and gets to inherit their spouse's belongings in death"
essay10,The Non-Issue of Same Sex Marriage,T10,Premise,By not allowing them to marry all that America is doing is depriving same sex couples of their rights to care for each other and provide for each other
essay10,The Non-Issue of Same Sex Marriage,T11,Premise,it is no one's business to tell same sex couples they should not be able wed
essay10,The Non-Issue of Same Sex Marriage,T12,Premise,Same sex couples just want the benefits of being married like everyone else
essay10,The Non-Issue of Same Sex Marriage,T13,Premise,there is no proof saying that it is wrong for them to have those benefits
essay10,The Non-Issue of Same Sex Marriage,T14,Claim,Making same sex marriage illegal also makes the people who are attracted to the same sex feel inferior
essay10,The Non-Issue of Same Sex Marriage,T15,Premise,"Nobody likes feeling inferior, or like they a below standards"
essay10,The Non-Issue of Same Sex Marriage,T16,Premise,by making sex marriage illegal you are making people who are attracted to the same sex feel and seem inferior to others
essay10,The Non-Issue of Same Sex Marriage,T17,Premise,Homosexuality is not a conscious choice; it's something they are born with
essay10,The Non-Issue of Same Sex Marriage,T18,Premise,"Just like you didn't choose who you love, neither did they"
essay10,The Non-Issue of Same Sex Marriage,T19,Claim,it's unfair to make same sex marriage seem inferior
essay10,The Non-Issue of Same Sex Marriage,T20,Premise,it is no different
essay10,The Non-Issue of Same Sex Marriage,T21,Premise,it is hypocritical to deny the full rights and opportunities of citizenship which includes the access to an institution as basic as matrimony
essay10,The Non-Issue of Same Sex Marriage,T22,Premise,You would never make a women feel inferior for being a women
essay10,The Non-Issue of Same Sex Marriage,T23,Claim,Same sex marriage being illegal rids the couple of their civil rights
essay10,The Non-Issue of Same Sex Marriage,T24,Premise,Homosexual couples are no different
essay10,The Non-Issue of Same Sex Marriage,T25,Premise,They deserve to have their civil rights fulfilled
essay10,The Non-Issue of Same Sex Marriage,T26,Premise,"just like women deserve to vote, they should be allowed to get married"
essay10,The Non-Issue of Same Sex Marriage,T27,Premise,the bible states that it is unholy for couples of the same gender to marry
essay10,The Non-Issue of Same Sex Marriage,T28,Premise,the word of the bible is comparable to law
essay10,The Non-Issue of Same Sex Marriage,T29,Premise,we have an amendment which protects our country from that exact situation
essay10,The Non-Issue of Same Sex Marriage,T30,Premise,"Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof"
essay10,The Non-Issue of Same Sex Marriage,T31,Claim,The fact that it's in the bible should not dictate the laws against same sex couples becoming wed
essay10,The Non-Issue of Same Sex Marriage,T32,Premise,"Not allowing same sex couples to marry is like saying all people born with a certain hair color should not be allowed marry people of other hair colors, It makes no sense"
essay10,The Non-Issue of Same Sex Marriage,T33,Premise,"Laws have been changed for all sexes, races' and genders for the same purpose, equal rights"
essay10,The Non-Issue of Same Sex Marriage,T34,Premise,It is hypocritical to not allow same sex marriage to occur when it appeals to a large growing group of people
essay10,The Non-Issue of Same Sex Marriage,T35,Premise,"Civil rights are something people have worked hard to maintain over the years, abolishing slavery and treating women equally"
essay10,The Non-Issue of Same Sex Marriage,T36,Claim,same sex couples are really just couples and should be treated as such
essay10,The Non-Issue of Same Sex Marriage,T37,Claim,"They should be allowed the benefits of marriage, treated equally, not like they are inferior, and same sex couples should be allowed their civil rights"
essay10,The Non-Issue of Same Sex Marriage,T38,Claim,One day in the future this will be achieved
essay11,Everyone Should Go Camping,T1,MajorClaim,camping is an experience that should be tried by everyone
essay11,Everyone Should Go Camping,T2,Premise,the air within homes and other buildings can be more seriously polluted than the outdoor air in even the largest and most industrialized cities
essay11,Everyone Should Go Camping,T3,Premise,Spending time camping is a great way to revitalize the lungs
essay11,Everyone Should Go Camping,T4,Premise,"""country air"" is often used to describe clean, healthy air"
essay11,Everyone Should Go Camping,T5,Claim,There is no better way to receive the country air than while camping
essay11,Everyone Should Go Camping,T6,Premise,Breathing the country air usually makes a person feel revitalized
essay11,Everyone Should Go Camping,T7,Claim,Another great part about camping is being outside under the sun
essay11,Everyone Should Go Camping,T8,Premise,The sun rays help the human body with the production of vitamin D
essay11,Everyone Should Go Camping,T9,Premise,"other than popping a vitamin pill, the only way that a body can produce vitamin D is through the exposure to the sun"
essay11,Everyone Should Go Camping,T10,Premise,Feeling the warm rays of the sun hit the face is always a welcome sensation
essay11,Everyone Should Go Camping,T11,Claim,Being outside in the sun is another great advantage of camping
essay11,Everyone Should Go Camping,T12,Claim,Camping is a great way to have fun while keeping the overall cost down
essay11,Everyone Should Go Camping,T13,Premise,A one night stay at Sands of Time RV Park costs twenty two dollars a night
essay11,Everyone Should Go Camping,T14,Premise,"That fee includes water, sewer, and electric"
essay11,Everyone Should Go Camping,T15,Premise,A stay in a condo in the same area will cost at least $645.00 for the week
essay11,Everyone Should Go Camping,T16,Premise,A condo will cost the family $491 more than a campsite
essay11,Everyone Should Go Camping,T17,Claim,That difference in price can make a camping trip a good possibility while keeping the overall costs down to a minimum
essay11,Everyone Should Go Camping,T18,Claim,Camping gives anyone the possibility to go places that they have never been before
essay11,Everyone Should Go Camping,T19,Premise,"Camping can take you to Yosemite, or into the Band Lands of South Dakota"
essay11,Everyone Should Go Camping,T20,Premise,Camping can also take place at a nearby state park
essay11,Everyone Should Go Camping,T21,Claim,"No matter where the campsite is, a camper can feel miles away from the city"
essay11,Everyone Should Go Camping,T22,Premise,"Camping gives you the ability to see these beautiful locations at first sunlight, in the middle of the day, at sunset and even under the stars"
essay11,Everyone Should Go Camping,T23,Premise,It can be amazing how different the same object can look throughout the day
essay11,Everyone Should Go Camping,T24,Premise,There are so many places both near and far that are best experienced by spending a few days within the place
essay11,Everyone Should Go Camping,T25,Premise,Campers often express how a feeling comes over their body when they reach the moment when the day to day turmoil leaves their body
essay11,Everyone Should Go Camping,T26,Premise,Virtually every camper experiences this moment
essay11,Everyone Should Go Camping,T27,Premise,This is specifically when they are experiencing nature and the realization is made how much simpler life is when outside with nature
essay11,Everyone Should Go Camping,T28,Premise,Returning to nature often allows campers to return to their true selves
essay11,Everyone Should Go Camping,T29,Claim,It is this discovery that should be experienced by all
essay11,Everyone Should Go Camping,T30,Claim,Camping is a great way to bring families together and strengthen their love
essay11,Everyone Should Go Camping,T31,Premise,Some people that do not like the idea of camping give the reason of having to camp with people in such a confined space
essay11,Everyone Should Go Camping,T32,Premise,"It this confined space that, when allowed, can create a close bond between family members"
essay11,Everyone Should Go Camping,T33,Premise,"When families go camping, they put the jobs and sporting events on hold"
essay11,Everyone Should Go Camping,T34,Premise,"There are usually no video games being played, no soccer practice to drive to, and no business projects to worry about"
essay11,Everyone Should Go Camping,T35,Premise,"By putting aside all of these events, the family has an opportunity to bond and renew their relationships"
essay11,Everyone Should Go Camping,T36,Premise,Some of this may be foreign to some people and there can be resistance
essay11,Everyone Should Go Camping,T37,Premise,"When this resistance is put aside, these bonds will be renewed"
essay11,Everyone Should Go Camping,T38,Claim,Campers have an opportunity to try some interesting food
essay11,Everyone Should Go Camping,T39,Claim,food always tastes better when camping
essay11,Everyone Should Go Camping,T40,Premise,Cooking over a fire makes burgers and potatoes taste better than can be found at any fast food place
essay11,Everyone Should Go Camping,T41,Premise,Campers need to think out their meals thoroughly prior to making a trip
essay11,Everyone Should Go Camping,T42,Premise,These well planned meals are sometimes the best meals that campers have ever had
essay11,Everyone Should Go Camping,T43,Premise,"Cooking a chicken over campfire, cooking an apple pie in a dutch oven, and cooking a burger wrapped in foil on the coals of a camp fire can put the best gourmet chefs to shame"
essay11,Everyone Should Go Camping,T44,Premise,"Perhaps it is the fresh smoke, the clean air or just the fact that a camper's senses are heightened"
essay11,Everyone Should Go Camping,T45,Claim,Some of the people that can be met while camping can make the entire trip better
essay11,Everyone Should Go Camping,T46,Premise,"Campers can come from every state, and sometimes different countries"
essay11,Everyone Should Go Camping,T47,Premise,"Taking a simple walk around the campsite, the camper can encounter these people and hear the most amazing stories"
essay11,Everyone Should Go Camping,T48,Premise,Campers are friendly and enjoy the company of fellow campers
essay11,Everyone Should Go Camping,T49,Premise,"Kids always seem to find new ""best friends"" for the weekends and even adults may find themselves sharing a meal with their new neighbors"
essay11,Everyone Should Go Camping,T50,Claim,camping can also make campers realize the overlooked luxuries that they experience day to day
essay11,Everyone Should Go Camping,T51,Claim,A small weekend away from these luxuries can make the campers realize how lucky they are in their day to day living
essay11,Everyone Should Go Camping,T52,Premise,"Flush toilets, warm showers, central heating and air, and even the lack of bugs accompanying the sleeping camper are some of the luxuries that are missed the most"
essay11,Everyone Should Go Camping,T53,Claim,Camping is one of the most basic and enjoyable activities that can be experienced by all
essay11,Everyone Should Go Camping,T54,Premise,Camping has no requirements other than willing participants
essay11,Everyone Should Go Camping,T55,Premise,"Camping doesn't discriminate, doesn't have deadlines and has nothing but fun around each corner"
essay11,Everyone Should Go Camping,T56,Premise,"No matter if the camping is experienced in a tent or in a luxury camper, getting outside, in the wilderness can provide a lifetime of memories"
essay11,Everyone Should Go Camping,T57,Premise,Camping has something for everyone
essay12,Locker Checks,T1,Premise,"Random locker checks are not done to torment and/or invade the privacy of the students, but for many other important reasons which include school security"
essay12,Locker Checks,T2,Premise,These checks are required
essay12,Locker Checks,T3,Premise,malicious students bring drugs and weapons to school and store them in the lockers
essay12,Locker Checks,T4,MajorClaim,Random locker checks should be made obligatory
essay12,Locker Checks,T5,Premise,Safety is a problem in every environment and especially school
essay12,Locker Checks,T6,Premise,"Drugs, alcohol, and firearms in lockers make a harmless place like school quite dangerous"
essay12,Locker Checks,T7,Premise,School was known to be a secure environment for children where they could learn and have a have a fun time with friends
essay12,Locker Checks,T8,Premise,In the past 10 years that has all changed
essay12,Locker Checks,T9,Premise,The number of school shootings has increased significantly
essay12,Locker Checks,T10,Premise,Last year on April 16th the most deadly school shooting in U.S. history occurred
essay12,Locker Checks,T11,Premise,"In this brutal massacre at Virginia Tech, 32 students were murdered and several more were wounded"
essay12,Locker Checks,T12,Claim,"To combat this growing epidemic, schools carry out repeated locker checks"
essay12,Locker Checks,T13,Claim,locker checks help increase the safety in schools
essay12,Locker Checks,T14,Claim,locker checks keep students healthy
